code,label_pl
F45.4,Uporczywe zaburzenia bólowe postaci somatoformicznej
F48.0,Neurastenia
F50.0,Jadłowstręt psychiczny (anorexia nervosa)
F50.2,Bulimia psychiczna (bulimia nervosa)
F50.8,Inne zaburzenia odżywiania
F51.0,Bezsenność nieorganiczna
F51.2,Nieorganiczne zaburzenia rytmu snu i czuwania
F51.4,Lęki nocne
F51.5,Koszmary senne
F52.0,Brak lub utrata potrzeb seksualnych
F52.2,Zaburzenia wzwodu u mężczyzn
F53.0,Łagodne zaburzenia psychiczne i zachowania związane z połogiem
F60.0,Osobowość paranoiczna
F60.1,Osobowość schizoidalna
F60.2,Osobowość dyssocjalna
F60.3,Osobowość chwiejna emocjonalnie (borderline)
F60.4,Osobowość histrioniczna
F60.5,Osobowość anankastyczna
F60.6,Osobowość lękliwa (unikająca)
F60.7,Osobowość zależna
F63.0,Patologiczny hazard
F63.1,Piromania
F63.2,Kleptomania
F64.0,Transseksualizm
F70,Upośledzenie umysłowe lekkie
F71,Upośledzenie umysłowe umiarkowane
F72,Upośledzenie umysłowe znaczne
F73,Upośledzenie umysłowe głębokie
F80.0,Specyficzne zaburzenie artykulacji
F80.1,Zaburzenie ekspresji mowy
F81.0,Specyficzne zaburzenie czytania
F81.1,Specyficzne zaburzenie opanowania poprawnej pisowni
F84.0,Autyzm dziecięcy
F84.5,Zespół Aspergera
F90.0,Zaburzenia aktywności i uwagi (ADHD)
F90.1,Hiperkinetyczne zaburzenia zachowania
F91.0,Zaburzenia zachowania ograniczone do środowiska rodzinnego
F91.1,Zaburzenia zachowania z nieprawidłowym procesem socjalizacji
F92.0,Depresyjne zaburzenia zachowania
F93.0,Zaburzenia lękowe w postaci lęku przed separacją w dzieciństwie
F95.0,Przemijające tiki
F95.2,Zespół tików głosowych i ruchowych (zespół Tourette'a)
F98.0,Moczenie nieorganiczne
F98.5,Jąkanie
F99,Zaburzenie psychiczne bliżej nieokreślone
G40.0,Padaczka i zespoły padaczkowe zlokalizowane samoistne
G40.3,Uogólniona padaczka samoistna i zespoły padaczkowe
G47.0,Zaburzenia zasypiania i podtrzymywania snu
G47.2,Zaburzenia rytmu snu i czuwania
G47.3,Bezdech senny
Z00.4,Ogólne badanie psychiatryczne
Z03.2,Obserwacja w kierunku podejrzewanego zaburzenia psychicznego
Z63.0,Problemy w relacjach ze współmałżonkiem lub partnerem
Z63.4,Zniknięcie lub śmierć członka rodziny
Z73.0,Zespół wypalenia
